Dosja,Arkiva,Fondi,Viti,Dosja,Faqja,Titulli,Anglisht,Citimi ,Shenime,,,,
"AQSH, F.511, viti 1947, dos. 17, fl. 61.",AQSH,511,1947,17,61,"Ligji mbi reformën Arsimore në RPSH, Dekret i miratuar
nga Presidiumi i Kuvendit Popullor, nr. 115, dt. 15.08.1946","Law on the the Education Reform. Presidential decree, 15 August 1946","AQSH, F.511, V.1947, D.17, Fl.61. Document title: Ligji mbi reformën Arsimore në RPSH, Dekret i miratuar
nga Presidiumi i Kuvendit Popullor, nr. 115, dt. 15.08.1946[Law on the the Education Reform. Presidential decree, 15 August 1946.]",,,,,
14/APOU_1948_63,AQSH,14-APOU,1948,63,82,Proces-verbal i mbledhjes se Byrose Politike te PPSH. 20.2.1948,Minutes from the meeting of the Politburo of PPSH on 20.02.1948,"AQSH, F.14-APOU, V.1948, D.63, Fl.82. Document title: Proces-verbal i mbledhjes se Byrose Politike te PPSH. 20.2.1948[Minutes from the meeting of the Politburo of PPSH on 20.02.1948.]",,,,,
"AQSH , F.14_APOU, V.1948, D.63, Fl.82. Document title: Proces_verbal i mbledhjes se Byrose Politike te PPSH. 20.2.1948[Minutes from the meeting of the Politburo of PPSH on 20.02.1948].",AQSH,14-APOU,1948,63,82,Proces-verbal i mbledhjes se Byrose Politike te PPSH. 20.2.1948,Minutes from the meeting of the Politburo of PPSH on 20.02.1948,"AQSH, F.14-APOU, V.1948, D.63, Fl.82. Document title: Proces-verbal i mbledhjes se Byrose Politike te PPSH. 20.2.1948[Minutes from the meeting of the Politburo of PPSH on 20.02.1948.]",,,,,
14_1948_83,AQSH,14-APOU,1948,83,21,Mbledhja e Byrosë Politike te PPSH më 4.05.1948,Minutes from the meeting of the Politburo of PPSH on 4.05.1948,"AQSH, F.14-APOU, V.1948, D.83, Fl.21. Document title: Mbledhja e Byrosë Politike te PPSH më 4.05.1948[Minutes from the meeting of the Politburo of PPSH on 4.05.1948.]",,,,,
14/APOU_1948_8,AQSH,14-APOU,1949,8,2,"Vendim Nr. 1, dt. 21.01.1949","Decree Nr. 1, 21.01.1948","AQSH, F.14-APOU, V.1949, D.8, Fl.2. Document title: Vendim Nr. 1, dt. 21.01.1949[Decree Nr. 1, 21.01.1948.]",,,,,
14/APOU_1949_8,AQSH,14-APOU,1949,8,3,Proces-verbal i mbledhjes se Byrose Politike te PPSH. 2.11.1949,Minutes from the meeting of the Politburo of PPSH on 2.11.1949,"AQSH, F.14-APOU, V.1949, D.8, Fl.3. Document title: Proces-verbal i mbledhjes se Byrose Politike te PPSH. 2.11.1949[Minutes from the meeting of the Politburo of PPSH on 2.11.1949.]",,,,,
14/APOU_1949_40,AQSH,14-APOU,1949,40, 9-24,Raport mbi gjendjen e studentave dhe organizatave te partise te studentave jashte.,Report on the situation of students and their party organizations abroad,"AQSH, F.14-APOU, V.1949, D.40, Fl. 9-24. Document title: Raport mbi gjendjen e studentave dhe organizatave te partise te studentave jashte.[Report on the situation of students and their party organizations abroad.]",,,,,
"Komisioni i Planit te Shtetit, 495/149/125/1",AQSH,495,1949,125,1,Numri i bursiereve universitare jashte shtetit,Number of university scholarship holders abroad,"AQSH, F.495, V.1949, D.125, Fl.1. Document title: Numri i bursiereve universitare jashte shtetit[Number of university scholarship holders abroad.]",,,,,
"MPJ 17/3 (0/II_1), 1949 . P. 3. ",MEPJ,MPJ,1949, 17/3,,Mbi detyrimet financiare ndaj BRSS-se per studentet,On the financial obligations to the USSR for the students,"MEPJ, F.MPJ, V.1949, D. 17/3, Fl.. Document title: Mbi detyrimet financiare ndaj BRSS-se per studentet[On the financial obligations to the USSR for the students.]",,,,,
MPJ 166/1949,MEPJ,MPJ,1949,166,36,"Legata e Shqiperise ne Beograd derguar Ministrise se Puneve te Jashtme, dt. 7.3.1948","Embassy of Albania in Belgrade to the MFA in Tirana, dt. 7.3.1948","MEPJ, F.MPJ, V.1949, D.166, Fl.36. Document title: Legata e Shqiperise ne Beograd derguar Ministrise se Puneve te Jashtme, dt. 7.3.1948[Embassy of Albania in Belgrade to the MFA in Tirana, dt. 7.3.1948.]",,,,,
