Dosja,Arkiva,Fondi,Viti,Dosja,Faqja,Titulli,Anglisht,Citimi ,Shenime,,,,
mpj_1971_796,MEPJ,MPJ,1971,796,1-5,Dhënie agrementi e paraqitje kredencialesh me Kongon,Presentation of diplomatic credentials to Congo,"MEPJ, F.MPJ, V.1971, D.796, Fl.1-5. Document title: Dhënie agrementi e paraqitje kredencialesh me Kongon[Presentation of diplomatic credentials to Congo.]",,,,,
495_1971_182,AQSH,495,1971,82,,Regjistri statistikor … ,Statistical records … ,"AQSH, F.495, V.1971, D.82, Fl.. Document title: Regjistri statistikor … [Statistical records … .]",,,,,
"AQSH, F. Instituti i Studimeve Ekonomike. D. 27. V. 1972. ",AQSH,Instituti i Studimeve Ekonomike,1972,17,,Studim mbi demet e shkaktuara ekonomise se R.P. te Shqiperise si pasoje e shkeljes arbitrare e te njeanshme te marreveshjeve ekonomike …,Study on the damages caused to the P. R. of Albania as a consequence of the arbitrary and unilateral economic agreement …,"AQSH, F.Instituti i Studimeve Ekonomike, V.1972, D.17, Fl.. Document title: Studim mbi demet e shkaktuara ekonomise se R.P. te Shqiperise si pasoje e shkeljes arbitrare e te njeanshme te marreveshjeve ekonomike …[Study on the damages caused to the P. R. of Albania as a consequence of the arbitrary and unilateral economic agreement ….]",,,,,
14_str_681_1972,AQSH,14-STR,1972,681,1-4,Ministria e Arsimit dhe Kultures derguar Komitetit Qendror te Partise. Relacion mbi dhenien e titujve dhe gradave … ,Ministry of Education and Cultures to Central Committee. Report on the conferment of titles and ranks …,"AQSH, F.14-STR, V.1972, D.681, Fl.1-4. Document title: Ministria e Arsimit dhe Kultures derguar Komitetit Qendror te Partise. Relacion mbi dhenien e titujve dhe gradave … [Ministry of Education and Cultures to Central Committee. Report on the conferment of titles and ranks ….]",,,,,
"F.490,V.1972,D.97",AQSH,490,1972,97,11-12,Proces-verbal i mbledhjes se Kryesise se Keshillit te Ministrave mbajtur me 19.10.1972,Meeting protocol: Council of Ministers on 19.10.1972,"AQSH, F.490, V.1972, D.97, Fl.11-12. Document title: Proces-verbal i mbledhjes se Kryesise se Keshillit te Ministrave mbajtur me 19.10.1972[Meeting protocol: Council of Ministers on 19.10.1972.]",,,,,
"F.490,V.1972,D.97",AQSH,490,1972,97,31-37,"Proces-verbal i mbledhjes se Kryesise se Keshillit te Ministrave mbajtur me 19.10.1972 - Relacion mbi organizimin e Akademise se Shkencave, ",Meeting protocol: Council of Ministers on 19.10.1973: Report on the structural organization of the Academy of Sciences.,"AQSH, F.490, V.1972, D.97, Fl.31-37. Document title: Proces-verbal i mbledhjes se Kryesise se Keshillit te Ministrave mbajtur me 19.10.1972 - Relacion mbi organizimin e Akademise se Shkencave, [Meeting protocol: Council of Ministers on 19.10.1973: Report on the structural organization of the Academy of Sciences..]",,,,,
490_1972_97,AQSH,490,1972,97,33,Relacion mbi organizimin e Akademise se Shkencave,Report on the organization of the Academy of Sciences,"AQSH, F.490, V.1972, D.97, Fl.33. Document title: Relacion mbi organizimin e Akademise se Shkencave[Report on the organization of the Academy of Sciences.]",,,,,
14str_1972_346_hapja_universitetit_struktur,AQSH,14-APSTR,1972,346,1-14,"Komiteti i Partise se Rrethit, Shkoder, derguar Komitetit Qendror te PPSH, dt. 5.07.1972","Disctrict Committee of the Party Shkodra to the Central Committee of PPSH, 5.07.1972","AQSH, F.14-APSTR, V.1972, D.346, Fl.1-14. Document title: Komiteti i Partise se Rrethit, Shkoder, derguar Komitetit Qendror te PPSH, dt. 5.07.1972[Disctrict Committee of the Party Shkodra to the Central Committee of PPSH, 5.07.1972.]",,,,,
14_29_449 KQPPSH,AQSH,14-APOU,1973,449,1-11,"Ambasada ne Rome derguar Komitetit Qendror te PPSH (Sektorit te Jashtem), Dt. 2.8.1973",Embassy in Rome to Central Committee. 2.8.1973,"AQSH, F.14-APOU, V.1973, D.449, Fl.1-11. Document title: Ambasada ne Rome derguar Komitetit Qendror te PPSH (Sektorit te Jashtem), Dt. 2.8.1973[Embassy in Rome to Central Committee. 2.8.1973.]",,,,,
Ise_1973_12,AQSH,Instituti i Studimeve Ekonomike,1973,12,5-6,"Komiteti  Shqiptar per Marredhenie Kulturale e Miqesore me Boten e Jashtme, derguar Akademise se Shkencave. Nr. 634, dt. 5.6.1973","Committee for Cultural Relations with the Outside World to the Academy of Sciences.  No. 634., 5.06.1973","AQSH, F.Instituti i Studimeve Ekonomike, V.1973, D.12, Fl.5-6. Document title: Komiteti  Shqiptar per Marredhenie Kulturale e Miqesore me Boten e Jashtme, derguar Akademise se Shkencave. Nr. 634, dt. 5.6.1973[Committee for Cultural Relations with the Outside World to the Academy of Sciences.  No. 634., 5.06.1973.]",,,,,
Ise_1973_12,AQSH,Instituti i Studimeve Ekonomike,1973,12,10,"Dhoma e Tregtise se R. P. SH derguar Akademise se Shkencave, Universitetit Shteteror te Tiranes, Institutit te Studimeve Ekonomike. 5.9.1973",Chamber of Commerce of the People's Republic of Albania. 5.09.1973.,"AQSH, F.Instituti i Studimeve Ekonomike, V.1973, D.12, Fl.10. Document title: Dhoma e Tregtise se R. P. SH derguar Akademise se Shkencave, Universitetit Shteteror te Tiranes, Institutit te Studimeve Ekonomike. 5.9.1973[Chamber of Commerce of the People's Republic of Albania. 5.09.1973..]",,,,,
Ise_1973_12,AQSH,Instituti i Studimeve Ekonomike,1973,12,15-18,Instituti i Studimeve Ekonomike derguar Akademise se Shkencave se R.P. SH. 26.12.1973,Institute of Economic Studies to Academy of Sciences of People's Republic of Albania. 26.12.1973,"AQSH, F.Instituti i Studimeve Ekonomike, V.1973, D.12, Fl.15-18. Document title: Instituti i Studimeve Ekonomike derguar Akademise se Shkencave se R.P. SH. 26.12.1973[Institute of Economic Studies to Academy of Sciences of People's Republic of Albania. 26.12.1973.]",,,,,
Ise_1973_12,AQSH,Instituti i Studimeve Ekonomike,1973,12,19-21,"Ministria e Puneve te Jashtme derguar Akademise se Shkencave te R. P. Sh., dt. 1.04.1973",Ministry of Foreign Affairs to the Academy of Sciences of People's Republic of Albania. 01.04.1973,"AQSH, F.Instituti i Studimeve Ekonomike, V.1973, D.12, Fl.19-21. Document title: Ministria e Puneve te Jashtme derguar Akademise se Shkencave te R. P. Sh., dt. 1.04.1973[Ministry of Foreign Affairs to the Academy of Sciences of People's Republic of Albania. 01.04.1973.]",,,,,
14/1973/262,AQSH,14-APOU,1973,262,35-37,Relacion: Mbi specializimin ne Rumani te Frederik Premtit (22.10.1973-3.10.1974),Report on the specialization in Romania of Frederik Premti (22.10.1973-3.10.1974),"AQSH, F.14-APOU, V.1973, D.262, Fl.35-37. Document title: Relacion: Mbi specializimin ne Rumani te Frederik Premtit (22.10.1973-3.10.1974)[Report on the specialization in Romania of Frederik Premti (22.10.1973-3.10.1974).]",,,,,
14/1973/262,AQSH,14-APOU,1973,262,38-56,F. Premti: Disa te dhena mbi kualifikimin pasuniversitar te kuadrove drejtuese ne ekonomi ne France.,F. Premti: Some information on the postgraduate qualification of managers in France,"AQSH, F.14-APOU, V.1973, D.262, Fl.38-56. Document title: F. Premti: Disa te dhena mbi kualifikimin pasuniversitar te kuadrove drejtuese ne ekonomi ne France.[F. Premti: Some information on the postgraduate qualification of managers in France.]",,,,,
490_1973_20,AQSH,490,1973,20,1,"Inspektoriati Shteteror: Raport mbi disa probleme ne Universitet dhe ne Institutin e Larte Bujqesor, 29.4.1983, L. Goga.","State Inspector: Report on the a few problems at the University and the Institute of Agriculture, L. Goga, 29.4.1973","AQSH, F.490, V.1973, D.20, Fl.1. Document title: Inspektoriati Shteteror: Raport mbi disa probleme ne Universitet dhe ne Institutin e Larte Bujqesor, 29.4.1983, L. Goga.[State Inspector: Report on the a few problems at the University and the Institute of Agriculture, L. Goga, 29.4.1973.]",,,,,
490_1973_20,AQSH,490,1973,20,11,Ministria e Arsimit: Raport mbi punen ne Universitet dhe ne Institutin e Larte Bujqesor… Maj 1973,Ministry of Education and Culture: Report on the University and the Institute of Agriculture … May 1973,"AQSH, F.490, V.1973, D.20, Fl.11. Document title: Ministria e Arsimit: Raport mbi punen ne Universitet dhe ne Institutin e Larte Bujqesor… Maj 1973[Ministry of Education and Culture: Report on the University and the Institute of Agriculture … May 1973.]",,,,,
491_1973_163,AQSH,491,1973,163,1,Regjistrat statistikore … mbi numrin e punonjesve me arsim te larte,Statistical records … on the number of employees with higher education… ,"AQSH, F.491, V.1973, D.163, Fl.1. Document title: Regjistrat statistikore … mbi numrin e punonjesve me arsim te larte[Statistical records … on the number of employees with higher education… .]",,,,,
490_1973_20,AQSH,490,1973,20,30-120,Proces-verbal i mbledhjes se Keshillit te Ministrave mbajtur me 24 maj 1973 … ,"Meeting minutes of the Council of Ministers, 24 May 1973","AQSH, F.490, V.1973, D.20, Fl.30-120. Document title: Proces-verbal i mbledhjes se Keshillit te Ministrave mbajtur me 24 maj 1973 … [Meeting minutes of the Council of Ministers, 24 May 1973.]",,,,,
14str_1973_263,AQSH,14-APSTR,1973,263,2-1,"Universiteti Shteteror i Tiranes derguar Komitetit Qendror te PPSh, dt. 25.09.1973","State University of Tirana to Central Committee of the Party, 25.09.1973","AQSH, F.14-APSTR, V.1973, D.263, Fl.2-1. Document title: Universiteti Shteteror i Tiranes derguar Komitetit Qendror te PPSh, dt. 25.09.1973[State University of Tirana to Central Committee of the Party, 25.09.1973.]",,,,,
14str_1973_258,AQSH,14-APSTR,1973,258,1-14,"Universiteti Shteteror i Tiranes derguar Komitetit Qendror te PPSh, ""Mbi pranimet e studenteve"", dt. ca August 1973","State University of Tirana to Central Committee of the Party, ""On student admission"", ca. August 1973","AQSH, F.14-APSTR, V.1973, D.258, Fl.1-14. Document title: Universiteti Shteteror i Tiranes derguar Komitetit Qendror te PPSh, ""Mbi pranimet e studenteve"", dt. ca August 1973[State University of Tirana to Central Committee of the Party, ""On student admission"", ca. August 1973.]",,,,,
14str_1973_255,AQSH,14-APSTR,1973,255,1-6,"Universiteti Shteteror i Tiranes derguar Komitetit Qendror te PPSh, ""Mbi studentet e huaj"", dt.17.08.1973","State University of Tirana to Central Committee of the Party, ""On the foreign students"", 17 August 1973","AQSH, F.14-APSTR, V.1973, D.255, Fl.1-6. Document title: Universiteti Shteteror i Tiranes derguar Komitetit Qendror te PPSh, ""Mbi studentet e huaj"", dt.17.08.1973[State University of Tirana to Central Committee of the Party, ""On the foreign students"", 17 August 1973.]",,,,,
10_1973_61,AQSH,10/Enver Hoxha,1973,61,1-19,"Diskutim ne mbledhjen e sekretariatit te KQ te PPSH, dt. 23.02.1973 mbi disa probleme te lendeve shoqerore ne universitet dhe ne shkollat e larta","Discussion, secretary of the Central Committee of PLA, 23 February 1973 concerning social sciences at the university … ","AQSH, F.10/Enver Hoxha, V.1973, D.61, Fl.1-19. Document title: Diskutim ne mbledhjen e sekretariatit te KQ te PPSH, dt. 23.02.1973 mbi disa probleme te lendeve shoqerore ne universitet dhe ne shkollat e larta[Discussion, secretary of the Central Committee of PLA, 23 February 1973 concerning social sciences at the university … .]",,,,,
14_1973_262,AQSH,14-APOU,1973,262,11-21,"Agim Mero, Universiteti Shteteror i Tiranes, derguar Komitetit Qendror te PPSH, dt. 1.12.1972; ""Disa mendime … per pergatitjen e e kuadrove te larta dhe kualifikimin…""","Agim Mero, State University of Tirana to Central Committee of the PLA, 1 December, 1972; ""On some thoughts about  … the qualification of the cadets…""","AQSH, F.14-APOU, V.1973, D.262, Fl.11-21. Document title: Agim Mero, Universiteti Shteteror i Tiranes, derguar Komitetit Qendror te PPSH, dt. 1.12.1972; ""Disa mendime … per pergatitjen e e kuadrove te larta dhe kualifikimin…""[Agim Mero, State University of Tirana to Central Committee of the PLA, 1 December, 1972; ""On some thoughts about  … the qualification of the cadets…"".]",,,,,
14_apstr_1974_349,AQSH,14-STR,1974,349,1-8,"Shtepia Botuese 8 Nentori derguar Komitetit Qendror te Partise, 18.11.74","Publishing House 8 November to the Central Committee, 18.11.1974","AQSH, F.14-STR, V.1974, D.349, Fl.1-8. Document title: Shtepia Botuese 8 Nentori derguar Komitetit Qendror te Partise, 18.11.74[Publishing House 8 November to the Central Committee, 18.11.1974.]",,,,,
14str_1974_362,AQSH,14-STR,1974,362,1-24,"Shtepia Botuese 8 Nentori derguar Komitetit Qendror te Partise, 30.11.74","Publishing House 8 November to the Central Committee, 30.11.1974","AQSH, F.14-STR, V.1974, D.362, Fl.1-24. Document title: Shtepia Botuese 8 Nentori derguar Komitetit Qendror te Partise, 30.11.74[Publishing House 8 November to the Central Committee, 30.11.1974.]",,,,,
ISE_1974_16,AQSH,Instituti i Studimeve Ekonomike,1974,16,1-4,Rregullore e brendshme mbi perdorimin e librave te bibliotekes se Institutit te Studimeve Ekonomike.,Internal rule for the use of the library at the Institute of Economic Studies,"AQSH, F.Instituti i Studimeve Ekonomike, V.1974, D.16, Fl.1-4. Document title: Rregullore e brendshme mbi perdorimin e librave te bibliotekes se Institutit te Studimeve Ekonomike.[Internal rule for the use of the library at the Institute of Economic Studies.]",,,,,
ISE_1974_17,AQSH,Instituti i Studimeve Ekonomike,1974,17,1-5,"Projekt-Teza: Mbi gjendjen, problemet dhe detyrat e shkences ekonomike ne etapen e tanishme te ndertimit socialist.","Research-ideas: On the state of affair, the problems  and the tasks of the Economic Science in the current stage of the socialist construction.","AQSH, F.Instituti i Studimeve Ekonomike, V.1974, D.17, Fl.1-5. Document title: Projekt-Teza: Mbi gjendjen, problemet dhe detyrat e shkences ekonomike ne etapen e tanishme te ndertimit socialist.[Research-ideas: On the state of affair, the problems  and the tasks of the Economic Science in the current stage of the socialist construction..]",,,,,
14_apstr_1974_376,AQSH,14-APOU,1974,376,1-11,"Relacion mbi aktivitetin e grupit te Qendres se matematikes llogaritese te perbere nga shoket: Kristian Bukuroshi, Aleksander Seseri, e Eqerem Arkaxhiu, qe ishte per eksperience ne RP te Kines. ",Report on the activities of the group of the Centre for Computational Mathematics in PR of China. ,"AQSH, F.14-APOU, V.1974, D.376, Fl.1-11. Document title: Relacion mbi aktivitetin e grupit te Qendres se matematikes llogaritese te perbere nga shoket: Kristian Bukuroshi, Aleksander Seseri, e Eqerem Arkaxhiu, qe ishte per eksperience ne RP te Kines. [Report on the activities of the group of the Centre for Computational Mathematics in PR of China. .]",,,,,
800_1974_41,AQSH,800,1974,41,8-21,Ministria e Arsimit dhe e Kultures. Raport mbi zbatimin e vendimit te Keshillit te Ministrave  per kualifikimin e kuadrit (Kico Negovani),Ministry of Education and Culture. Report on the implementation of the degree of the Council of Ministers for the qualification of the cadre (Kico Negovani),"AQSH, F.800, V.1974, D.41, Fl.8-21. Document title: Ministria e Arsimit dhe e Kultures. Raport mbi zbatimin e vendimit te Keshillit te Ministrave  per kualifikimin e kuadrit (Kico Negovani)[Ministry of Education and Culture. Report on the implementation of the degree of the Council of Ministers for the qualification of the cadre (Kico Negovani).]",,,,,
800_1974_41,AQSH,800,1974,41,22-29,Ministria e Arsimit dhe Kultures. Raport mbi profilet e pregatitjes se kuadrit … 14.03.1974,Ministry of Education and Culture. Report on the specialization courses of the cadres …  14.03.1974,"AQSH, F.800, V.1974, D.41, Fl.22-29. Document title: Ministria e Arsimit dhe Kultures. Raport mbi profilet e pregatitjes se kuadrit … 14.03.1974[Ministry of Education and Culture. Report on the specialization courses of the cadres …  14.03.1974.]",,,,,
800_1974_41,AQSH,800,1974,41,48-56,Ministria e Arsimit dhe Kultures. Mbi kualifikimin dhe specializimin e kuadrit jashte shtetit dhe masat per permiresimin e metejshem te kesaj pune,"Ministry of Education and Culture: On the qualification of the cadre and specialization abroad, and the measurements to be taken for further improvements","AQSH, F.800, V.1974, D.41, Fl.48-56. Document title: Ministria e Arsimit dhe Kultures. Mbi kualifikimin dhe specializimin e kuadrit jashte shtetit dhe masat per permiresimin e metejshem te kesaj pune[Ministry of Education and Culture: On the qualification of the cadre and specialization abroad, and the measurements to be taken for further improvements.]",,,,,
"MPJ 1974/140 , UNESCO komisioni i arsimit, Paris to MPJ. Dt. 26.1974.",MEPJ,MPJ,1974,140,57,"Ambasada ne Paris derguar Ministrise se Puneve te Jashtme, dt. 26.10.1974","Embassy in Paris to Tirana, Ministry of Foreign Affairs, 26 October 1974","MEPJ, F.MPJ, V.1974, D.140, Fl.57. Document title: Ambasada ne Paris derguar Ministrise se Puneve te Jashtme, dt. 26.10.1974[Embassy in Paris to Tirana, Ministry of Foreign Affairs, 26 October 1974.]",,,,,
"MPJ 1974/140, 15.10.1974",MEPJ,MPJ,1974,140,22,"Ministria e Punve te Jashtme derguar ambasades ne Paris, dt. 15.10.1979","Ministry of Foreign Affairs to Embassy in Paris, 15 October 1974","MEPJ, F.MPJ, V.1974, D.140, Fl.22. Document title: Ministria e Punve te Jashtme derguar ambasades ne Paris, dt. 15.10.1979[Ministry of Foreign Affairs to Embassy in Paris, 15 October 1974.]",,,,,
14_apstr_1974_349,AQSH, 14-APOU,1974,349,2-8,"Informacion mbi disa cregullime, falsifikime, e abuzime ne Redaksine tekniko-shkencore te Shtepise Botuese 8-Nentori, 16.11.1974","Information on some irregularities … at the Publishing House ""8 November"", 16 November 1974","AQSH, F. 14-APOU, V.1974, D.349, Fl.2-8. Document title: Informacion mbi disa cregullime, falsifikime, e abuzime ne Redaksine tekniko-shkencore te Shtepise Botuese 8-Nentori, 16.11.1974[Information on some irregularities … at the Publishing House ""8 November"", 16 November 1974.]",,,,,
14_1974_362,AQSH,14-APOU,1974,362,31,"Shtepia Botuese 8 Nentori derguar Komitetit Qendror te PPSH, dt. 18.12.1974","Publishing House 8 November to Central Committee of the Party, 18 December 1974","AQSH, F.14-APOU, V.1974, D.362, Fl.31. Document title: Shtepia Botuese 8 Nentori derguar Komitetit Qendror te PPSH, dt. 18.12.1974[Publishing House 8 November to Central Committee of the Party, 18 December 1974.]",,,,,
ILB_1974_14,AQSH,ILB,1974,14,1,"Presidiumi i Kuvendit Popullor, Dekreti Nr. 5124, dt. 4.12.1973","People's Convention, Decree 5124, 4 December 1973","AQSH, F.ILB, V.1974, D.14, Fl.1. Document title: Presidiumi i Kuvendit Popullor, Dekreti Nr. 5124, dt. 4.12.1973[People's Convention, Decree 5124, 4 December 1973.]",,,,,
mpj_1974_355,MEPJ,MPJ,1974,355,30-40,"Projekt fjalim per t'u mbajtur ne sesionin e 18-te te Konferences se pergjithshme te UNESCO-s, dt. 8.10.1974","Draft-speech for the 18th session of the General Conference of UNESCO, 8 October 1974","MEPJ, F.MPJ, V.1974, D.355, Fl.30-40. Document title: Projekt fjalim per t'u mbajtur ne sesionin e 18-te te Konferences se pergjithshme te UNESCO-s, dt. 8.10.1974[Draft-speech for the 18th session of the General Conference of UNESCO, 8 October 1974.]",,,,,
491_1975_161,AQSH,491,1975,161,1,Regjistrat statistikore … mbi numrin e punonjesve me arsim te larte,Statistical records … on the number of employees with higher education… ,"AQSH, F.491, V.1975, D.161, Fl.1. Document title: Regjistrat statistikore … mbi numrin e punonjesve me arsim te larte[Statistical records … on the number of employees with higher education… .]",,,,,
811_1975_636,AQSH,811,1975,636,1,"Raporti auto-kritik i armikut Abdyl Kellezi, dt. 22.05.1975","Self-critique report of Abdyl Kellezi, 22 May 1975","AQSH, F.811, V.1975, D.636, Fl.1. Document title: Raporti auto-kritik i armikut Abdyl Kellezi, dt. 22.05.1975[Self-critique report of Abdyl Kellezi, 22 May 1975.]",,,,,
811_1975_638,AQSH,811,1975,638,,Letra ,Letters,"AQSH, F.811, V.1975, D.638, Fl.. Document title: Letra [Letters.]",,,,,
abdyl_kellezi_ap_1975_10,AQSH,Abdyl Kellezi /AP,1975,10,1-26,Pyetje te dala nga proces-verbali i pleniumit te Komiteti Qendror te Partise drejtuar Abdyl Kellezit,Questions posed to Abdy Kellezi in the meeting of the Central Committee of the Party,"AQSH, F.Abdyl Kellezi /AP, V.1975, D.10, Fl.1-26. Document title: Pyetje te dala nga proces-verbali i pleniumit te Komiteti Qendror te Partise drejtuar Abdyl Kellezit[Questions posed to Abdy Kellezi in the meeting of the Central Committee of the Party.]",,,,,
495_1975_115,AQSH,495,1975,115,1-125,Vjetari i vogel statistikor 1975: I brendshem,Small annual statistical internal report 1975,"AQSH, F.495, V.1975, D.115, Fl.1-125. Document title: Vjetari i vogel statistikor 1975: I brendshem[Small annual statistical internal report 1975.]",,,,,
495_1975_67,AQSH,495,1975,67,1,"Keshilli i Ministrave derguar Komisionit te Planit te Shtetit, dt. 23.05.1973","Council of Ministers to State Planning Commission, 23 May 1973","AQSH, F.495, V.1975, D.67, Fl.1. Document title: Keshilli i Ministrave derguar Komisionit te Planit te Shtetit, dt. 23.05.1973[Council of Ministers to State Planning Commission, 23 May 1973.]",,,,,
495_1975_67,AQSH,495,1975,67,12,"Komisioni i Planit te Shtetit derguar Ministrise se Puneve te Jashtme, dt. 11.11.1974","State Planning Commission to Ministry of Foreign Affairs, 11 October 1974","AQSH, F.495, V.1975, D.67, Fl.12. Document title: Komisioni i Planit te Shtetit derguar Ministrise se Puneve te Jashtme, dt. 11.11.1974[State Planning Commission to Ministry of Foreign Affairs, 11 October 1974.]",,,,,
495_1975_67,AQSH,495,1975,67,16,"Vendim i Komitetit Qendror të Partisë së Punës, Nr. 20, 22.01.1975, ""Per kuadrot qe dergohen per specializim dhe eksperience jashte shtetit.""","Decision of the Central Committee of the Party, No. 20, 22 January 1975, ""For the cadets who are sent abroad for specialization and experience.""","AQSH, F.495, V.1975, D.67, Fl.16. Document title: Vendim i Komitetit Qendror të Partisë së Punës, Nr. 20, 22.01.1975, ""Per kuadrot qe dergohen per specializim dhe eksperience jashte shtetit.""[Decision of the Central Committee of the Party, No. 20, 22 January 1975, ""For the cadets who are sent abroad for specialization and experience."".]",,,,,
811_1975_638,AQSH,811,1975,638,55,Letra ,Letters,"AQSH, F.811, V.1975, D.638, Fl.55. Document title: Letra [Letters.]",,,,,
mpj_1975_382,MEPJ,MPJ,1975,382,43-53,Informacion mbi ceshtjet qe do ti ngrihen delegacionit palestinez … per debimin e studenteve,Information: on the issues that will be discussed with the Palestinian delegation considering their expulsion,"MEPJ, F.MPJ, V.1975, D.382, Fl.43-53. Document title: Informacion mbi ceshtjet qe do ti ngrihen delegacionit palestinez … per debimin e studenteve[Information: on the issues that will be discussed with the Palestinian delegation considering their expulsion.]",,,,,
mpj_1975_382,MEPJ,MPJ,1975,382,2-9,"Informacion per viziten e AL-Fatah, dt. 13.01.1975-15.01.1975",Information on Al-Fatah visit on 13 & 15 Januar 1975,"MEPJ, F.MPJ, V.1975, D.382, Fl.2-9. Document title: Informacion per viziten e AL-Fatah, dt. 13.01.1975-15.01.1975[Information on Al-Fatah visit on 13 & 15 Januar 1975.]",,,,,
511_1975_355,AQSH,511,1975,355,25,Informacion mbi studentet dhe kuadrot qe jane ne France. Note dt. 11.09.1975,Information on the students and cadets in France. Note on 11 September 1975,"AQSH, F.511, V.1975, D.355, Fl.25. Document title: Informacion mbi studentet dhe kuadrot qe jane ne France. Note dt. 11.09.1975[Information on the students and cadets in France. Note on 11 September 1975.]",,,,,
Dosja nr 132 fondi 4 mbi denoncimet per studentet e huaj,Autoriteti i Dosjeve,4,1976,132,4-5,Ministria e Puneve te Brendshme. Drejtoria I. F. Shehu derguar Hysni Kapo. Dt. 23.02.1976,Ministry of Internal Affairs. 1st Directorate. F. Shehu to Hysni Kapo. 23.02.1976,"Autoriteti i Dosjeve, F.4, V.1976, D.132, Fl.4-5. Document title: Ministria e Puneve te Brendshme. Drejtoria I. F. Shehu derguar Hysni Kapo. Dt. 23.02.1976[Ministry of Internal Affairs. 1st Directorate. F. Shehu to Hysni Kapo. 23.02.1976.]",,,,,
Dosja nr 132 fondi 4 mbi denoncimet per studentet e huaj,Autoriteti i Dosjeve,4,1976,132,12,Ministria e Puneve te Brendshme. Drejtoria I. Hysni Kapo to Fecor Shehu. Dt. 26.02.1976,Ministry of Internal Affairs. 1st Directorate. Hysni Kapo to Fecor Shehu. Dt. 26.02.1976,"Autoriteti i Dosjeve, F.4, V.1976, D.132, Fl.12. Document title: Ministria e Puneve te Brendshme. Drejtoria I. Hysni Kapo to Fecor Shehu. Dt. 26.02.1976[Ministry of Internal Affairs. 1st Directorate. Hysni Kapo to Fecor Shehu. Dt. 26.02.1976.]",,,,,
Dosja nr 132 fondi 4 mbi denoncimet per studentet e huaj,Autoriteti i Dosjeve,4,1976,132,2,"Ministria e Puneve te Brendshme. Drejtoria I derguar Komitetit Qendror te Partise, Spiro Kondi. Mbi studentin vjetnamez N. T. T., dt. 26.01.1976. (Sekret)","Ministry of Internal Affairs. 1st Directorate to Central Committee of the Party, Spiro Kondi. 26.01.1976. (Secret)","Autoriteti i Dosjeve, F.4, V.1976, D.132, Fl.2. Document title: Ministria e Puneve te Brendshme. Drejtoria I derguar Komitetit Qendror te Partise, Spiro Kondi. Mbi studentin vjetnamez N. T. T., dt. 26.01.1976. (Sekret)[Ministry of Internal Affairs. 1st Directorate to Central Committee of the Party, Spiro Kondi. 26.01.1976. (Secret).]",,,,,
Akademia 1976_30_3,AQSH,508,1976,30,3,,,"AQSH, F.508, V.1976, D.30, Fl.3. Document title: [.]",,,,,
akademi_14_1976,AQSH,800,1976,14,4-7,Relacion mbi realizimin kryesor te planit shkencor te Akademise se Shkencave gjate vitit 1975. Dt. 12.05.1976,Report on the overall realization of the plan of the Academy of Sciences in year 1975. (12.05.1976),"AQSH, F.800, V.1976, D.14, Fl.4-7. Document title: Relacion mbi realizimin kryesor te planit shkencor te Akademise se Shkencave gjate vitit 1975. Dt. 12.05.1976[Report on the overall realization of the plan of the Academy of Sciences in year 1975. (12.05.1976).]",,,,,
490_1976_406,AQSH,490,1976,406,1-7,Raport mbi masat per zbatimin e detyrave te Pleniumit IV … … dhe te protokollit te Qeverise te dates 24.05.1973,Report on the measurements for the fulfillment of the tasks set out in the  Plenary Session IV. … follow up to the meeting of the Council of Ministers 24.05.1975,"AQSH, F.490, V.1976, D.406, Fl.1-7. Document title: Raport mbi masat per zbatimin e detyrave te Pleniumit IV … … dhe te protokollit te Qeverise te dates 24.05.1973[Report on the measurements for the fulfillment of the tasks set out in the  Plenary Session IV. … follow up to the meeting of the Council of Ministers 24.05.1975.]",,,,,
490_1976_406,AQSH,490,1976,406,17-130,"Procesverbal: Mbledhje e kryesise se Keshillit te Ministrave, 19.05.1976","Meeting protocol: Meeting of the Council of Ministers, 19 May, 1976.","AQSH, F.490, V.1976, D.406, Fl.17-130. Document title: Procesverbal: Mbledhje e kryesise se Keshillit te Ministrave, 19.05.1976[Meeting protocol: Meeting of the Council of Ministers, 19 May, 1976..]",,,,,
"AQSH. F. Ramiz Alia. V. 1965, D. 1063. Fl. 1_3. ",AQSH,373/AP (R. Alia),1976,1063,1-3,"Dega V Matematika Speciale, Universiteti I Tiranes, derguar Enver Hoxhes, Dt. 10.03.1976","Class V Advance Mathematics, State University of Tirana, to Enver Hoxha, 10 March 1976","AQSH, F.373/AP (R. Alia), V.1976, D.1063, Fl.1-3. Document title: Dega V Matematika Speciale, Universiteti I Tiranes, derguar Enver Hoxhes, Dt. 10.03.1976[Class V Advance Mathematics, State University of Tirana, to Enver Hoxha, 10 March 1976.]",,,,,
 490_1976_407,AQSH,490,1976,407,104,"Mbi gjendjen dhe perspektiven e disa profileve ne shkollat e larta"", Ministria e Arsimit dhe Kultures to KM, dt. 18.6.1976,","On the situtation and the prospective of some specialization courses …"" Ministry of Education to Council of Ministers, 18 June 1976","AQSH, F.490, V.1976, D.407, Fl.104. Document title: Mbi gjendjen dhe perspektiven e disa profileve ne shkollat e larta"", Ministria e Arsimit dhe Kultures to KM, dt. 18.6.1976,[On the situtation and the prospective of some specialization courses …"" Ministry of Education to Council of Ministers, 18 June 1976.]",,,,,
